Gender,Age,Academic Pressure,CGPA,Study Satisfaction,Sleep Duration,Dietary Habits,Have you ever had suicidal thoughts ?,Work/Study Hours,Financial Stress,Family History of Mental Illness,Depression
1,0.7142857142857144,1.0,0.7927565392354123,0.4,0,0,1,0.25,0.0,0,1
0,0.28571428571428575,0.4,0.1750503018108653,1.0,0,1,0,0.25,0.25,1,0
1,0.6190476190476191,0.6000000000000001,0.40241448692152904,1.0,2,0,0,0.75,0.0,1,0
0,0.4761904761904763,0.6000000000000001,0.11267605633802821,0.4,1,1,1,0.3333333333333333,1.0,1,1
0,0.3333333333333334,0.8,0.6237424547283702,0.6000000000000001,0,1,1,0.08333333333333333,0.0,0,0
1,0.523809523809524,0.4,0.13480885311871235,0.6000000000000001,2,0,0,0.3333333333333333,0.0,0,0
1,0.5714285714285714,0.6000000000000001,0.9074446680080479,0.8,1,0,0,0.08333333333333333,0.25,0,0
0,0.5714285714285714,0.4,0.6056338028169012,0.8,2,3,0,0.0,0.0,1,0
1,0.4761904761904763,0.6000000000000001,0.957746478873239,0.2,1,1,1,1.0,0.5,0,1
1,0.6190476190476191,0.4,0.6740442655935613,0.6000000000000001,2,1,1,0.16666666666666666,1.0,0,1
1,0.28571428571428575,0.6000000000000001,0.21529175050301802,0.6000000000000001,0,1,1,0.9166666666666666,0.0,1,1
1,0.7142857142857144,0.6000000000000001,0.40241448692152904,0.8,2,0,1,0.8333333333333333,0.25,1,0
1,0.4285714285714286,1.0,0.4044265593561368,0.2,2,1,0,0.8333333333333333,0.0,1,1
0,0.047619047619047575,0.4,0.7022132796780683,0.8,2,3,0,0.5,0.25,1,0
0,0.047619047619047575,1.0,0.1227364185110664,1.0,2,1,1,0.3333333333333333,1.0,1,1
1,0.523809523809524,0.6000000000000001,0.7142857142857143,0.6000000000000001,3,1,1,0.8333333333333333,0.25,1,1
1,0.3333333333333334,1.0,0.2977867203219315,0.4,2,3,1,0.16666666666666666,1.0,1,1
0,0.09523809523809526,1.0,0.4466800804828973,0.6000000000000001,0,0,1,0.8333333333333333,0.5,0,1
1,0.047619047619047575,0.4,0.5633802816901409,0.4,1,3,0,0.5,0.5,0,0
1,0.3333333333333334,0.6000000000000001,0.9859154929577463,0.6000000000000001,0,1,0,0.6666666666666666,0.5,1,1
1,0.523809523809524,0.6000000000000001,0.7464788732394366,0.8,0,1,1,0.08333333333333333,0.0,0,0
1,0.523809523809524,0.6000000000000001,0.34205231388329976,0.6000000000000001,1,1,0,0.0,0.0,0,0
0,0.3333333333333334,0.6000000000000001,0.1086519114688129,0.6000000000000001,3,3,1,0.8333333333333333,1.0,0,1
1,0.23809523809523808,0.2,0.7162977867203218,0.8,1,0,0,0.9166666666666666,0.5,0,0
1,0.0,0.8,0.41649899396378254,0.6000000000000001,3,3,1,0.9166666666666666,1.0,1,1
0,0.09523809523809526,1.0,0.7142857142857143,1.0,1,1,0,0.16666666666666666,0.25,1,1
1,0.6190476190476191,0.4,0.2112676056338027,1.0,1,1,1,0.25,0.5,1,1
1,0.3333333333333334,0.6000000000000001,0.4466800804828973,0.6000000000000001,3,3,1,0.8333333333333333,1.0,0,1
1,0.7142857142857144,1.0,0.14285714285714277,0.4,2,1,0,0.6666666666666666,0.5,1,0
1,0.4761904761904763,0.6000000000000001,0.9718309859154928,0.6000000000000001,1,3,1,0.9166666666666666,0.25,0,1
